Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee;Adress;modified adress;latitude;longitude;name;description
310792023;ARCELOR MITTAL WIRE FRANCE;25 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;25 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;26 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;26 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;27 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;27 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;28 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;28 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;29 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;29 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;30 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;30 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;31 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;31 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;32 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;32 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
310792023;ARCELOR MITTAL WIRE FRANCE;33 AVENUE DE LYON BP 38;1000;BOURG EN BRESSE;2434Z Fabrication d'autres produits de première transformation de l'acier;MUTUALISE;Etendue;33 AVENUE DE LYON BP 38  01000 BOURG EN BRESSE;Bourg-en-Bresse, France;46.205167;5.225501;ARCELOR MITTAL WIRE FRANCE;SIREN : 310792023 | NAF : 2434Z Fabrication d'autres produits de première transformation de l'acier | Portée : Etendue
562038893;BAYER S.A.S.;RUE ANTOINE LAURENT DE LAVOISIER BP 2;2250;MARLE SUR SERRE;2020Z Fabrication de pesticides et d'autres produits agrochimiques;MUTUALISE;Générale;RUE ANTOINE LAURENT DE LAVOISIER BP 2  02250 MARLE SUR SERRE;Marle, France;49.739456;3.771035;BAYER S.A.S.;SIREN : 562038893 | NAF : 2020Z Fabrication de pesticides et d'autres produits agrochimiques | Portée : Générale
