Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee;Locations;Adress generated;Latitude;Longitude;name;description
269720132;CENTRE COMMUNAL D'ACTION SOCIALE DU LAMENTIN;HOTEL DE VILLE PLACE ANTONIO MACEO;97232;LE LAMENTIN/ MARTINIQUE;8899B Autre action sociale sans hébergement;SALARIE;Etendue;HOTEL DE VILLE PLACE ANTONIO MACEO 97232 LE LAMENTIN/ MARTINIQUE;HOTEL DE VILLE PLACE ANTONIO MACEO 97232 LE LAMENTIN/ MARTINIQUE;14.6;-61;CENTRE COMMUNAL D'ACTION SOCIALE DU LAMENTIN;SIREN : 269720132 | NAF : 8899B Autre action sociale sans hébergement |Portée : Etendue
333823458;NOVOPTIQUE;50 RUE SCHOELCHER ;97200;FORT DE FRANCE;524T Autres commerces de détail en magasin spécialisé;SALARIE;Générale;50 RUE SCHOELCHER  97200 FORT DE FRANCE;50 RUE SCHOELCHER  97200 FORT DE FRANCE;14.606137;-61.068453;NOVOPTIQUE;SIREN : 333823458 | NAF : 524T Autres commerces de détail en magasin spécialisé |Portée : Générale
479117384;OPTI'ONE;43 RUE HOMERE CLEMENT ;97240;LE FRANCOIS;524T Autres commerces de détail en magasin spécialisé;SALARIE;Générale;43 RUE HOMERE CLEMENT  97240 LE FRANCOIS;43 RUE HOMERE CLEMENT  97240 LE FRANCOIS;14.614426;-60.90537;OPTI'ONE;SIREN : 479117384 | NAF : 524T Autres commerces de détail en magasin spécialisé |Portée : Générale
452581515;CENTRE DE GESTION GROUPAMA GAN ANTILLES GUYANE;7 LOTISSEMENT BARDINET DILLON ;97200;FORT DE FRANCE;7022Z Conseil de gestion;SALARIE;Etendue;7 LOTISSEMENT BARDINET DILLON  97200 FORT DE FRANCE;7 LOTISSEMENT BARDINET DILLON  97200 FORT DE FRANCE;14.616033;-61.049199;CENTRE DE GESTION GROUPAMA GAN ANTILLES GUYANE;SIREN : 452581515 | NAF : 7022Z Conseil de gestion |Portée : Etendue
490946068;REGIME SOCIAL DES INDEPENDANTS DES ANTILLES GUYANE;ZAC DE RIVIERE ROCHE BP 558;97242;FORT DE FRANCE;8430A Sécurité sociale obligatoire;SALARIE;Etendue;ZAC DE RIVIERE ROCHE BP 558 97242 FORT DE FRANCE;ZAC DE RIVIERE ROCHE BP 558 97242 FORT DE FRANCE;14.616065;-61.05878;REGIME SOCIAL DES INDEPENDANTS DES ANTILLES GUYANE;SIREN : 490946068 | NAF : 8430A Sécurité sociale obligatoire |Portée : Etendue
682033261;CAISSE FEDERALE DU CREDIT MUTUEL ANTILLES GUYANE;RUE DU PROFESSEUR RAYMOND GARCIN ;97200;FORT DE FRANCE;6419Z Intermédiation monétaire;SALARIE;Etendue;RUE DU PROFESSEUR RAYMOND GARCIN  97200 FORT DE FRANCE;RUE DU PROFESSEUR RAYMOND GARCIN  97200 FORT DE FRANCE;14.619558;-61.078025;CAISSE FEDERALE DU CREDIT MUTUEL ANTILLES GUYANE;SIREN : 682033261 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
682033261;FEDERATION CREDIT MUTUEL ANTILLES GUYANE;RUE DU PROFESSEUR RAYMOND GARCIN BP 920;97245;FORT DE FRANCE CEDEX;6419Z Intermédiation monétaire;SALARIE;Etendue;RUE DU PROFESSEUR RAYMOND GARCIN BP 920 97245 FORT DE FRANCE CEDEX;RUE DU PROFESSEUR RAYMOND GARCIN  97245 FORT DE FRANCE CEDEX;14.619558;-61.078025;FEDERATION CREDIT MUTUEL ANTILLES GUYANE;SIREN : 682033261 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
310863766;SOCIETE ELECTROTECHNIQUE DE BOURBON;37 AVENUE STANISLAS GIMART cs 40510;97495;SAINTE CLOTILDE CEDEX;4321A Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;37 AVENUE STANISLAS GIMART cs 40510 97495 SAINTE CLOTILDE CEDEX;37 AVENUE STANISLAS GIMART  97495 SAINTE CLOTILDE CEDEX;-20.896643;55.475293;SOCIETE ELECTROTECHNIQUE DE BOURBON;SIREN : 310863766 | NAF : 4321A Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
;Direction Régionale du Service Médicale de la REUNION;5 RUE DE LA FRATERNITE ZAC DU TRIANGLE ;97495;SAINTE CLOTILDE CEDEX;8411Z Administration générale, économique et sociale;SALARIE;Générale;5 RUE DE LA FRATERNITE ZAC DU TRIANGLE  97495 SAINTE CLOTILDE CEDEX;5 RUE DE LA FRATERNITE ZAC DU TRIANGLE  97495 SAINTE CLOTILDE CEDEX;-20.901668;55.501041;Direction Régionale du Service Médicale de la REUNION;SIREN :  | NAF : 8411Z Administration générale, économique et sociale |Portée : Générale
491063731;CAISSE RSI LA REUNION;135 AVENUE MARCEL HOARAU BP 290;97494;SAINT CLOTILDE;8430A Sécurité sociale obligatoire;SALARIE;Etendue;135 AVENUE MARCEL HOARAU BP 290 97494 SAINT CLOTILDE;135 AVENUE MARCEL HOARAU 97494 SAINT CLOTILDE;-20.909963;55.487466;CAISSE RSI LA REUNION;SIREN : 491063731 | NAF : 8430A Sécurité sociale obligatoire |Portée : Etendue
